LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
CZE,GDP,TOT,USD_CAP,A,2014,32265.04516,
CZE,GDP,TOT,USD_CAP,A,2015,33478.62252,
CZE,GDP,TOT,USD_CAP,A,2016,34752.65849,
CZE,GDP,TOT,USD_CAP,A,2017,36927.36918,
DNK,GDP,TOT,USD_CAP,A,1966,3478.762434,
DNK,GDP,TOT,USD_CAP,A,1967,3688.285602,
DNK,GDP,TOT,USD_CAP,A,1968,4005.792223,
DNK,GDP,TOT,USD_CAP,A,1969,4487.227813,
DNK,GDP,TOT,USD_CAP,A,1970,4253.558068,
DNK,GDP,TOT,USD_CAP,A,1971,4580.661322,
DNK,GDP,TOT,USD_CAP,A,1972,4937.897018,
DNK,GDP,TOT,USD_CAP,A,1973,5387.346503,
DNK,GDP,TOT,USD_CAP,A,1974,5778.928516,
DNK,GDP,TOT,USD_CAP,A,1975,6203.726341,
DNK,GDP,TOT,USD_CAP,A,1976,6914.200075,
DNK,GDP,TOT,USD_CAP,A,1977,7456.903864,
DNK,GDP,TOT,USD_CAP,A,1978,8132.574308,
DNK,GDP,TOT,USD_CAP,A,1979,9121.39488,
DNK,GDP,TOT,USD_CAP,A,1980,9884.394497,
DNK,GDP,TOT,USD_CAP,A,1981,10739.4269,
DNK,GDP,TOT,USD_CAP,A,1982,11835.17484,
DNK,GDP,TOT,USD_CAP,A,1983,12631.72305,
DNK,GDP,TOT,USD_CAP,A,1984,13632.85346,
DNK,GDP,TOT,USD_CAP,A,1985,14626.60895,
DNK,GDP,TOT,USD_CAP,A,1986,15632.11642,
DNK,GDP,TOT,USD_CAP,A,1987,16049.74972,
DNK,GDP,TOT,USD_CAP,A,1988,16599.65873,
DNK,GDP,TOT,USD_CAP,A,1989,17349.56044,
DNK,GDP,TOT,USD_CAP,A,1990,18228.34908,
DNK,GDP,TOT,USD_CAP,A,1991,19045.70286,
DNK,GDP,TOT,USD_CAP,A,1992,19795.78778,
DNK,GDP,TOT,USD_CAP,A,1993,20198.63121,
DNK,GDP,TOT,USD_CAP,A,1994,21657.53471,
DNK,GDP,TOT,USD_CAP,A,1995,22674.09869,
DNK,GDP,TOT,USD_CAP,A,1996,23710.72285,
DNK,GDP,TOT,USD_CAP,A,1997,24914.27228,
DNK,GDP,TOT,USD_CAP,A,1998,25798.51139,
DNK,GDP,TOT,USD_CAP,A,1999,26657.8328,
DNK,GDP,TOT,USD_CAP,A,2000,28666.21652,
DNK,GDP,TOT,USD_CAP,A,2001,29483.94686,
DNK,GDP,TOT,USD_CAP,A,2002,30639.9531,
DNK,GDP,TOT,USD_CAP,A,2003,30787.41289,
DNK,GDP,TOT,USD_CAP,A,2004,32929.7573,
DNK,GDP,TOT,USD_CAP,A,2005,34152.878,
DNK,GDP,TOT,USD_CAP,A,2006,37302.35892,
DNK,GDP,TOT,USD_CAP,A,2007,38972.03137,
DNK,GDP,TOT,USD_CAP,A,2008,41282.99749,
DNK,GDP,TOT,USD_CAP,A,2009,40333.14435,
DNK,GDP,TOT,USD_CAP,A,2010,43046.84249,
DNK,GDP,TOT,USD_CAP,A,2011,44407.95138,
DNK,GDP,TOT,USD_CAP,A,2012,44808.54321,
DNK,GDP,TOT,USD_CAP,A,2013,46742.93884,
DNK,GDP,TOT,USD_CAP,A,2014,47905.4773,
DNK,GDP,TOT,USD_CAP,A,2015,48687.54221,
DNK,GDP,TOT,USD_CAP,A,2016,49020.54389,
DNK,GDP,TOT,USD_CAP,A,2017,50520.78209,
FIN,GDP,TOT,USD_CAP,A,1970,3397.148752,E
FIN,GDP,TOT,USD_CAP,A,1971,3649.026097,E
FIN,GDP,TOT,USD_CAP,A,1972,4076.74008,E
FIN,GDP,TOT,USD_CAP,A,1973,4573.179016,E
FIN,GDP,TOT,USD_CAP,A,1974,5117.87798,E
FIN,GDP,TOT,USD_CAP,A,1975,5668.144473,E
FIN,GDP,TOT,USD_CAP,A,1976,5981.701466,E
FIN,GDP,TOT,USD_CAP,A,1977,6350.222305,E
FIN,GDP,TOT,USD_CAP,A,1978,6974.498839,E
FIN,GDP,TOT,USD_CAP,A,1979,8067.3242,E
FIN,GDP,TOT,USD_CAP,A,1980,9240.137381,
FIN,GDP,TOT,USD_CAP,A,1981,10189.92166,
FIN,GDP,TOT,USD_CAP,A,1982,11094.02102,
FIN,GDP,TOT,USD_CAP,A,1983,11821.19887,
FIN,GDP,TOT,USD_CAP,A,1984,12566.78513,
FIN,GDP,TOT,USD_CAP,A,1985,13371.66548,
FIN,GDP,TOT,USD_CAP,A,1986,13967.75181,
FIN,GDP,TOT,USD_CAP,A,1987,14792.11324,
FIN,GDP,TOT,USD_CAP,A,1988,16060.70709,
FIN,GDP,TOT,USD_CAP,A,1989,17470.81919,
FIN,GDP,TOT,USD_CAP,A,1990,18159.05169,
FIN,GDP,TOT,USD_CAP,A,1991,17557.60013,
FIN,GDP,TOT,USD_CAP,A,1992,17263.35945,
FIN,GDP,TOT,USD_CAP,A,1993,17459.79081,
FIN,GDP,TOT,USD_CAP,A,1994,18454.01285,
FIN,GDP,TOT,USD_CAP,A,1995,19556.53426,
FIN,GDP,TOT,USD_CAP,A,1996,20053.20886,
FIN,GDP,TOT,USD_CAP,A,1997,21768.77003,
FIN,GDP,TOT,USD_CAP,A,1998,23539.32704,
FIN,GDP,TOT,USD_CAP,A,1999,24768.53,
FIN,GDP,TOT,USD_CAP,A,2000,26748.6721,
FIN,GDP,TOT,USD_CAP,A,2001,27793.75328,
FIN,GDP,TOT,USD_CAP,A,2002,28567.17181,
FIN,GDP,TOT,USD_CAP,A,2003,28982.98858,
FIN,GDP,TOT,USD_CAP,A,2004,31129.12669,
FIN,GDP,TOT,USD_CAP,A,2005,31993.3762,
FIN,GDP,TOT,USD_CAP,A,2006,34367.27806,
FIN,GDP,TOT,USD_CAP,A,2007,37696.79304,
FIN,GDP,TOT,USD_CAP,A,2008,39969.39226,
FIN,GDP,TOT,USD_CAP,A,2009,37823.02353,
FIN,GDP,TOT,USD_CAP,A,2010,38774.82861,
FIN,GDP,TOT,USD_CAP,A,2011,40683.33742,
FIN,GDP,TOT,USD_CAP,A,2012,40619.93702,
FIN,GDP,TOT,USD_CAP,A,2013,41293.29362,
FIN,GDP,TOT,USD_CAP,A,2014,41462.71674,
FIN,GDP,TOT,USD_CAP,A,2015,42063.73495,
FIN,GDP,TOT,USD_CAP,A,2016,43378.17388,
FIN,GDP,TOT,USD_CAP,A,2017,45253.07734,
FRA,GDP,TOT,USD_CAP,A,1960,1811.845107,
FRA,GDP,TOT,USD_CAP,A,1961,1897.968394,
FRA,GDP,TOT,USD_CAP,A,1962,2041.754359,
FRA,GDP,TOT,USD_CAP,A,1963,2144.973811,
FRA,GDP,TOT,USD_CAP,A,1964,2301.038941,
FRA,GDP,TOT,USD_CAP,A,1965,2463.045814,
FRA,GDP,TOT,USD_CAP,A,1966,2661.762548,
FRA,GDP,TOT,USD_CAP,A,1967,2846.355409,
FRA,GDP,TOT,USD_CAP,A,1968,3100.059837,
FRA,GDP,TOT,USD_CAP,A,1969,3490.962801,
FRA,GDP,TOT,USD_CAP,A,1970,3719.112612,
FRA,GDP,TOT,USD_CAP,A,1971,4078.001157,
FRA,GDP,TOT,USD_CAP,A,1972,4408.423006,
FRA,GDP,TOT,USD_CAP,A,1973,4902.278239,
FRA,GDP,TOT,USD_CAP,A,1974,5535.69651,
FRA,GDP,TOT,USD_CAP,A,1975,5961.33154,
FRA,GDP,TOT,USD_CAP,A,1976,6533.557522,
FRA,GDP,TOT,USD_CAP,A,1977,7145.849356,
FRA,GDP,TOT,USD_CAP,A,1978,7917.21644,
FRA,GDP,TOT,USD_CAP,A,1979,8837.236028,
FRA,GDP,TOT,USD_CAP,A,1980,9736.834728,
FRA,GDP,TOT,USD_CAP,A,1981,10700.09116,
FRA,GDP,TOT,USD_CAP,A,1982,11579.02459,
FRA,GDP,TOT,USD_CAP,A,1983,12122.45668,
FRA,GDP,TOT,USD_CAP,A,1984,12682.23054,
FRA,GDP,TOT,USD_CAP,A,1985,13234.72279,
FRA,GDP,TOT,USD_CAP,A,1986,13749.30795,
FRA,GDP,TOT,USD_CAP,A,1987,14385.93039,
FRA,GDP,TOT,USD_CAP,A,1988,15505.58846,
FRA,GDP,TOT,USD_CAP,A,1989,16710.9975,
FRA,GDP,TOT,USD_CAP,A,1990,17737.65678,
FRA,GDP,TOT,USD_CAP,A,1991,18425.78572,
FRA,GDP,TOT,USD_CAP,A,1992,19052.54006,
FRA,GDP,TOT,USD_CAP,A,1993,19302.65182,
FRA,GDP,TOT,USD_CAP,A,1994,20100.92518,
FRA,GDP,TOT,USD_CAP,A,1995,20872.33501,
FRA,GDP,TOT,USD_CAP,A,1996,21455.06147,
FRA,GDP,TOT,USD_CAP,A,1997,22365.38475,
FRA,GDP,TOT,USD_CAP,A,1998,23474.102,
FRA,GDP,TOT,USD_CAP,A,1999,24447.77614,
FRA,GDP,TOT,USD_CAP,A,2000,26226.06912,
FRA,GDP,TOT,USD_CAP,A,2001,27657.69746,
FRA,GDP,TOT,USD_CAP,A,2002,28658.52275,
FRA,GDP,TOT,USD_CAP,A,2003,28275.888,
FRA,GDP,TOT,USD_CAP,A,2004,29179.71207,
FRA,GDP,TOT,USD_CAP,A,2005,30625.93231,
FRA,GDP,TOT,USD_CAP,A,2006,32553.11664,
FRA,GDP,TOT,USD_CAP,A,2007,34184.41918,
FRA,GDP,TOT,USD_CAP,A,2008,35184.23363,
FRA,GDP,TOT,USD_CAP,A,2009,34753.37051,
FRA,GDP,TOT,USD_CAP,A,2010,36022.16956,
FRA,GDP,TOT,USD_CAP,A,2011,37485.25235,
FRA,GDP,TOT,USD_CAP,A,2012,37671.02818,
FRA,GDP,TOT,USD_CAP,A,2013,39515.13827,
FRA,GDP,TOT,USD_CAP,A,2014,40117.10845,
FRA,GDP,TOT,USD_CAP,A,2015,40489.19489,P
FRA,GDP,TOT,USD_CAP,A,2016,41364.43588,P
FRA,GDP,TOT,USD_CAP,A,2017,42697.68243,P
DEU,GDP,TOT,USD_CAP,A,1970,4048.05206,E
DEU,GDP,TOT,USD_CAP,A,1971,4351.240335,E
DEU,GDP,TOT,USD_CAP,A,1972,4712.577962,E
DEU,GDP,TOT,USD_CAP,A,1973,5190.541726,E
DEU,GDP,TOT,USD_CAP,A,1974,5705.498851,E
DEU,GDP,TOT,USD_CAP,A,1975,6203.441212,E
DEU,GDP,TOT,USD_CAP,A,1976,6899.565803,E
DEU,GDP,TOT,USD_CAP,A,1977,7587.538653,E
DEU,GDP,TOT,USD_CAP,A,1978,8373.469943,E
DEU,GDP,TOT,USD_CAP,A,1979,9438.336856,E
DEU,GDP,TOT,USD_CAP,A,1980,10407.98021,E
DEU,GDP,TOT,USD_CAP,A,1981,11423.14384,E
DEU,GDP,TOT,USD_CAP,A,1982,12096.70817,E
DEU,GDP,TOT,USD_CAP,A,1983,12806.87371,E
DEU,GDP,TOT,USD_CAP,A,1984,13683.99602,E
DEU,GDP,TOT,USD_CAP,A,1985,14483.69586,E
DEU,GDP,TOT,USD_CAP,A,1986,15109.61794,E
DEU,GDP,TOT,USD_CAP,A,1987,15706.71306,E
DEU,GDP,TOT,USD_CAP,A,1988,16773.57705,E
DEU,GDP,TOT,USD_CAP,A,1989,17975.41536,E
DEU,GDP,TOT,USD_CAP,A,1990,19450.06974,E
DEU,GDP,TOT,USD_CAP,A,1991,20963.23759,
DEU,GDP,TOT,USD_CAP,A,1992,21710.5243,
DEU,GDP,TOT,USD_CAP,A,1993,21893.25011,
DEU,GDP,TOT,USD_CAP,A,1994,22851.87112,
DEU,GDP,TOT,USD_CAP,A,1995,23686.85653,
DEU,GDP,TOT,USD_CAP,A,1996,24237.15769,
DEU,GDP,TOT,USD_CAP,A,1997,24791.77969,
DEU,GDP,TOT,USD_CAP,A,1998,25559.15599,
DEU,GDP,TOT,USD_CAP,A,1999,26579.73908,
DEU,GDP,TOT,USD_CAP,A,2000,27546.58095,
DEU,GDP,TOT,USD_CAP,A,2001,28790.79903,
DEU,GDP,TOT,USD_CAP,A,2002,29654.21869,
DEU,GDP,TOT,USD_CAP,A,2003,30350.20273,
DEU,GDP,TOT,USD_CAP,A,2004,31837.71113,
DEU,GDP,TOT,USD_CAP,A,2005,32413.54006,
DEU,GDP,TOT,USD_CAP,A,2006,34753.95204,
DEU,GDP,TOT,USD_CAP,A,2007,37017.96634,
DEU,GDP,TOT,USD_CAP,A,2008,38662.60613,
DEU,GDP,TOT,USD_CAP,A,2009,37688.91949,
DEU,GDP,TOT,USD_CAP,A,2010,39955.04588,
DEU,GDP,TOT,USD_CAP,A,2011,42692.50173,
DEU,GDP,TOT,USD_CAP,A,2012,43564.07389,
DEU,GDP,TOT,USD_CAP,A,2013,45231.97175,
DEU,GDP,TOT,USD_CAP,A,2014,47092.21722,
DEU,GDP,TOT,USD_CAP,A,2015,47810.63453,
DEU,GDP,TOT,USD_CAP,A,2016,48942.90715,
DEU,GDP,TOT,USD_CAP,A,2017,50704.51928,
GRC,GDP,TOT,USD_CAP,A,1970,3102.740816,E
GRC,GDP,TOT,USD_CAP,A,1971,3500.826558,E
GRC,GDP,TOT,USD_CAP,A,1972,3997.220802,E
GRC,GDP,TOT,USD_CAP,A,1973,4535.410942,E
GRC,GDP,TOT,USD_CAP,A,1974,4607.554572,E
GRC,GDP,TOT,USD_CAP,A,1975,5305.108045,E
GRC,GDP,TOT,USD_CAP,A,1976,5900.81849,E
GRC,GDP,TOT,USD_CAP,A,1977,6353.452048,E
GRC,GDP,TOT,USD_CAP,A,1978,7197.885083,E
GRC,GDP,TOT,USD_CAP,A,1979,7948.450044,E
GRC,GDP,TOT,USD_CAP,A,1980,8638.049137,E
